Number,Species,Chemical Name,TMZ,Resolved QNs,CDMS/JPL Intensity,Lovas/AST Intensity,EL(K),EU(K),Linelist,
76,H2CO,Formaldehyde,"4.7892E-6, 4.79E-6","29( 7,22)-29( 7,23)",-14.5754,,2093.04367,2093.0439,CDMS
77,H2CO,Formaldehyde,"5.5603E-6, 5.56E-6","46( 9,37)-46( 9,38)",-18.2168,,4709.25874,4709.259,CDMS
78,H2CO,Formaldehyde,"6.2099E-6, 6.21E-6","15( 5,10)-15( 5,11)",-12.3625,,713.33848,713.33878,CDMS
79,H2CO,Formaldehyde,"6.369399999999999E-6, 6.37E-6","9( 4, 5)- 9( 4, 6)",-12.265,,345.59698,345.59729,CDMS
80,H2CO,Formaldehyde,"6.441999999999999E-6, 6.44E-6","22( 6,16)-22( 6,17)",-13.6715,,1306.59618,1306.59649,CDMS
81,H2CO,Formaldehyde,"7.0465E-6, 7.05E-6","38( 8,30)-38( 8,31)",-16.5137,,3332.61409,3332.61443,CDMS
82,H2CO,Formaldehyde,"7.6718E-6, 7.67E-6","30( 7,23)-30( 7,24)",-14.3326,,2197.69654,2197.69691,CDMS
83,H2CO,Formaldehyde,"8.1324E-6, 8.13E-6","47( 9,38)-47( 9,39)",-18.1327,,4872.41841,4872.4188,CDMS
84,H2CO,Formaldehyde,"1.0618799999999999E-5, 1.062E-5","39( 8,31)-39( 8,32)",-16.3658,,3468.37659,3468.3771,CDMS
85,H2CO,Formaldehyde,"1.0955E-5, 1.096E-5","23( 6,17)-23( 6,18)",-13.3459,,1386.93688,1386.9374,CDMS
86,H2CO,Formaldehyde,"1.1792099999999998E-5, 1.179E-5","48( 9,39)-48( 9,40)",-18.0609,,5039.0189,5039.01947,CDMS
87,H2CO,Formaldehyde,"1.18326E-5, 1.183E-5","16( 5,11)-16( 5,12)",-11.9109,,769.26889,769.26945,CDMS
88,H2CO,Formaldehyde,"1.2091699999999998E-5, 1.209E-5","31( 7,24)-31( 7,25)",-14.1086,,2305.8341,2305.83469,CDMS
89,H2CO,Formaldehyde,"1.48455E-5, 1.485E-5","10( 4, 6)-10( 4, 7)",-11.6244,,380.56337,380.56409,CDMS
